missytati	#huurders lijken wel hoeren
CRAZYASS____	Ik vecht tegen de pijn maar hoelang hou ik dit nog vol. Alles om me heen herinnert me alleen nog maar aan ons.
astridkarsten	@tulimedia Sjoerd! Nogmaals mijn dank voor je tip! Nu collega's! @DvLunteren maar eens tackelen samen? ;-)
DomiVerhagen	Anouk was GEWELDIG! ! Ze zingt Zoooooo mooi. #ziggodome
ponsartilke	@CarettaCaro ja he ik vind dat ook, ik word brillenpoetser 💦 (mijn gsm geeft dat woord niet als fout dus er is hoop)
ZakiBidari	@Hanane_elm hahahahahha ja ik zou beter kunne playbacken hahah
rouwhof	@Pegasus4sun als je weet hoe je er mee om moet gaan niet.wij deden niet anders.Diemaco C7 super wapen. En anders heb je de glock .
_xomishella	@Dxrah ik praat teg uw kale zuster
CRAZYASS____	En ik wil zo graag geloven dat ik het los kan laten. Je zegt elke x opnieuw dat ik het aankan zonder jou.
RoversKees	@dijkgraafbuma het was weer mooi met de dijkgraaf over het water richting Staphorst http://t.co/RAufFnPaCG
CRAZYASS____	Maar waarom doe je zo je best om me kapot te maken. Waarom sta je hier nog steeds als me weg wou.
GreetButer	Heerlijk gegeten bij Ege in Eindhoven met ons gezin ter gelegenheid van mijn verjaardag ergens vorige week #genoten
NigelLord_	Toch wel gek dat ik met mijn hoofd meer bij Dnipro zit dan bij die lampen.
Mayketjuhh	Je doet het alleen maar voor jezelf?..
greeneyes_40794	@AuthorJans Louis se hy wens hy was 'n kat in jou huis!
whatswithbakker	@GameplayWorldXL @whatswithbakker laatmaar hahah maar thanks voor feedback keep it going
NinaHoutkampx	Was leuk avondje 👌💋
17bckx	@Tine_to_Earth dank je wel
tomvkw	en..... het is alweer zondag, wat gaat de tijd toch snel 😭😖
SphieChan	@spekje Het ging ook niet over jou hoor!
rachelsukenikk	@caleighxxoo IK BUTT
dailyblogpower	@Supercemal hersenloze betweters op zich af. De roddel is gezet. Het middelpunt @enzo zal dit ook in zijn achterhoofd moeten houden. Helaas
lestersnackers	@robknop ben ik het niet geheel mee eens. Beyoncè heeft met afstand de beste stem van deze tijd. Zowel live als op een album!
_ilaydaaax	“@kusjemayori: @_ilaydaaax hahaha verwijder dit is straks leest sam het” AHHAHAHAA IS GODD
hakimm_	@kongbrussels DA HEDDE GIJ GOE GEDAAN JONGE met die pitch enal. @pranile is fan.
NigelLord_	@Simon1499 Thnx man! Jij ook!
JRijstenberg	Toch even reclame maken voor dit geweldige duo. De Gründeck Buam. Live in Point in Wagrain. http://t.co/ZW1U5uTuQl
orlamodena	Dat Opstelten politie buro's gaat sluiten..de dictator doet weer wat hij wil...weg sturen naar nova zembla met die kerel
PANDA_KNUFFEL	@WinnieAnimate ik meende het😂
lovemelissx	@JillHelena u/je kan super super goed zingen, bij sommige liedjes zelfs kippenvel😘
HugoMyHero	@lovemelissx ja, maar dat kunnen mensen niet weten dat ze van jou niet mogen reageren.
HBrunekreeft	00:05 voor mezelf 2 haha
ZoArnould	Soms versta ik je echt nie hoor..
_ilaydaaax	“@kusjemayori: @_ilaydaaax HAHAHA” Hahahahhaahha Ik dacht al toen je zei hoe oud je was dacht Ik echt van 'wacht serieus'
bothamber	Ben zo waanzinnig gelukkig omggg w
MrsVenderleek	@DrGertJanMulder De hele partij niet. Dat bedoelde je toch?
SKDYPL	Dan moet je wel wat gaan tweeten 😏👀 @KAJVANDERVOORT #KCA #VoteBBrave http://t.co/YDBQTP5C5H
BuitenpostZ	MATCHDAY! Herstart van de competitie in en tegen @vvBakkeveen 3, we hopen dat André van Tuinen nog op wintersport🎿 is http://t.co/4Xov2nokGb
CRAZYASS____	Maar als ik morgen weg zou zijn. Zou ik dan zijn geweest voor jou wat jij was voor mij.
rosmans	@HenkGeveke http://t.co/mlRzo6oQec doet sterk denken aan een apparaat dat je voorganger ontwierp http://t.co/MRJ8G6232R
Bob8_	Jammer dat ik dit jaar niet naar Pinkpop zal gaan, nog steeds erg tevreden dat ik vorig jaar ben geweest. Legendes gezien 😄!!
jmckoning	@CorryvanRheeOA top, dan weet ik mijn eigen kado nu ook!
xpriscillx	@AmyYPL In maart trek ik iedereen aan de staart.
dkolde	@TedBisschop oei, wat vervelend!! Hopelijk knap je snel weer op!! Beterschap gewenst!!
DomiVerhagen	Anouk doet me altijd een beetje denken aan @BibiBecking. Die heeft ook dat lieve verlegene.
CRAZYASS____	Zou ik met trots gaan of achter blijven in schaamte. Mijn afdruk laten staan of verdwijnen als een gedaante.
RoesMiek	"@pvmeekeren: zijn jullie op de hoogte van de taal die bezigt op Twitter? M.i. onaanvaardbaar." @hansspekman
Bob8_	@Robijntje94 wij ook
_ilaydaaax	“@BBraviours_: @_ilaydaaax hoe oud moet je zijn?” 16
Myrmoney	Echt savage in een tabbie ollo van origine
skoopnl	En verder in de kleine zaal van Paradiso #sonicacts http://t.co/pIqP0f6zMN
NigelLord_	Als Brenet straks in de basis staat wordt ie aan alle kanten voorbijgelopen door Kishna denk ik. #psvAJA.
BullDutch	@huibree @Roemenie mis t wel hoor die gezellige feestjes van onze Roemeense tak van de familie
iMitchK	Ik probeer al de hele dag een leuke date voor morgen te verzinnen, 13:00 in Amsterdam. Lukt niet in deze brakke toestand. What to do?! #dtv
kostet_leila	Ik wil ijs
greeneyes_40794	@AuthorJans Regte bedorwe brokkies! Ons Maltesie word net so lekker bederf, en is soos kind in die huis.
lailavandijk	Laat me hem alsjeblieft meeten voor Hij 22 wordt! AUB
HugoMyHero	1 maart vandaag begint de meteorologische lente! #truste.
lianaroskam	Aub bitch die reactie op insta sta me nie aan. Zoek uw eigen maten 😒
astridkarsten	@NonstopOscar jij ook eppo
PANDA_KNUFFEL	@Sanneke89 GEFELICITEERD! HOOP DAT JE MN BRIEF HEBT🙈
SphieChan	@spekje Direct is juist goed! Maar te direct, ja datdan weer niet :P
maryam_diedhiou	Bbrave is iets vergeten op het podium🗿 http://t.co/WBpo5Qhrht
_dimc85	@eefjefriedhoff niks dan goeds ;-) http://t.co/uIjqgsECxJ
YawitsMichael	Het is lente, nu word alles weer beter. Mooie dingen gaan weer gebeuren.
SphieChan	@spekje @NSgids Wie? Ikke?
MerijnMensink	Even helemaal klaar met Twente. 😤 Volgende week in Tilburg aanwezig in het thuisvak, hopen op een puntje dan maar.. #twenac #wiltwe
AdriaanvdKooij	Vanavond niet een hele beste wedstrijd gezien maar blij dat de 3 punten in Leeuwarden gebleven zijn. #CamHer #Cambuur http://t.co/HE6OwCJPFE
joelcahen	@KLM klopt helaas werkte de check in on line niet inmiddels gebeld met 4747747, maar nog geen boardingpass
LiseKriekemans	@HerveMangala Ik zou zeggen, verkeersborden met 'centrum' op volgen of met 'halve maan' op volgen dan ben je al goed opweg!
meindert_de	@Gerlinde_jeugd ga alleen naar de wettelijke verkooppunten , met Nederlands keurmerk , wereld op ze kop !
dailyblogpower	@Supercemal @Enzo gewoon jammer dat je altijd moet opletten omdat anderen meteen weer gaan zeiken wat een ander doet. Laat iedereen gewoon
Remonov	@BardoEllensFans @Ruawina OMG IK KAN DUITS
TopogigioRini	@CarelBruring ook die komt eraan. Eerst de maartse buien nog. Goesenacht alvast
lianaroskam	Binnen 26 dagen men bday bitchessss 😎
FeyenoordVakT	Gezellig Pameijerparty geweest kortom #Topavond @Pameijer @RemcoHogenbirk @JrMakkenze @DJAvorio @miszlinnie tot volgende maand 28 maart 2015
justroebbie	Kijk uit #politie #vakantie #alcoholcontrole bij rotonde rabobank Druten word net opgezet!!!
ditishenrieke	@Enzoknol ik vind het zo kut voor dat veel mensen je haten. Gelukkig heb je een paar mensen die wel begrijpen ♥
FMaulabaks	Hoe wist je dat wij magnum ijs hadden zegt dochter tegen zoon ... #instagram
Daafwillems	@dobrzynskajulia Praat is op fb trien..
Meub69	@LucWierts Hehe.. Qua niveau is het net Roda-Fortuna, maar dan met heel veel rook en moeilijke video's..
AndrevanLuijk	@richardtkiewiet toen ik jong was heb ik er diverse gered. Woonde in een boere omgeving
orlamodena	@piggyinspac @Starcounseling @Alphonsius13 @BochovePvdA ja en de hotemetoot die dit heeft doorgedrukt neemt geen verantwoordelijkheid
LisaJohanna_	@pajamasem gelukkig, en nu?
RojterStefanie	Ga perfect slapen vanavond
hesseldegroot_	Was weer heeeeeeerlijk ❤️❤️ @ Roy's 👑 https://t.co/SFii5AeMMU
MaliciaJurado	De tijd vliegt gewoon.. 😭 21..
hipperdehopper	Welkom nieuwe follower @zomaerofficial tot op dytg ^^
Sinhhuy_Hoang	🎁🎈Jarig🎁🎈# 20 jaar
DuvinPoof	Afijn. Tot morgen. Of straks. Whatever.
TopogigioRini	@remcoromeo gij bent Un kanjer war. De afstand is zo jammer man.
Robvandergaag	Kan iemand bij onze buren #baarsenopijnen advocaten de telefoon afzetten, kan niet slapen #schiedam
RoesMiek	" @pvmeekeren http://t.co/c0Mp8OGUxB. Moet wel fake/haat account zijn als je kijkt naar haar diensten #internetgevaar"@hansspekman
Special_cargo	De lente is begonnen met de lammertijd. Slapeloze nachten horen dat bij http://t.co/8W7A1qnc05
_MeldaMelanie	@M4URIN gun mij die van paramore..
HeleenStuifzand	@mlady247 en daarom heb ik #anna Zij regelt t voor mij als ik weg ben! Ideaal , kun je gewoon op afstand Bedienen #aanrader
NigelLord_	Maar ik denk toch dat Arias er weer zal staan. Benieuwd of Kishna het 'm lastig maakt. Tighadouini & Manu deden 't wel regelmatig.
PANDA_KNUFFEL	@WinnieAnimate maakt niet uit💁 ik wil je leren kennen😂 kangeenkwaadtoch
astridkarsten	Boze fans bij hoofdingang Twente http://t.co/Yr7zPlu43o -> ach ach.. Rutte krijgt t nog lastig daar als TD? Ok.. das (erg) veel speculatie..
eefjefriedhoff	@_dimc85 Hahaha, lieffff! Nu wil ik alleen nog weten met wie deze conversatie was😁
OneDayFly_1997	Matchday! Revanche voor potje in Rusland en dat kan tegen niemand beter dan tegen de neuzen #PSVaja
Gurg89	Gefeliciteerd voor iedereen die op 29/2 jarig is! Oeps, ik ben te laat.......
ponsartilke	Meteen Frans praten met papa 😎
lailavandijk	"@michelle98x: @lailavandijk @OceansGriers haha kijk met jou kan ik praten 😂" Hahahahh yes you can
CorryvanRheeOA	@jmckoning werkt super, beter dan alle eerdere toetsenborden maar vind het wel oerlelijk :)
Daafwillems	@dobrzynskajulia Ik maak amper dramz!!!!
DylanE_301	@bella_rose28 @jennelleblack_ yea ik👌
IneDevolder	Ik ben emelie en ik ben leuk
Niiwino	@henniehemmes @remyvanmannekes (James Brown heb ik het dan over he 😉)
SphieChan	@raymondvk @NSgids @zomer_jan Die heeft hem op de rand van het perron laten liggen :P http://t.co/A1vvUFwgaF
IneDevolder	In vriendin die in haar geloofd 😉 #byeeeeeeee
demivlaarhoven	"@officialdioni: @DonaLhdf can I just love you?👀" zo cute jullie 2, waarneer word het nou eindelijk officieel😏
klsnijder	Alweer in de kale jonker. Dit keer voor de after party van Martijn z'n verjaardagsfeest. Morgen house of cards en rust
lestersnackers	@robknop dat staat als een paal boven water!
cruesli1984	Heerlijke dag gehad met mijn mannen! Nu moe maar voldaan in bed. Kleine man uit logeren, dus morgen uitslapen!!
greeneyes_40794	@AuthorJans Ek geniet dit net so baie. Storm (woefelkind) 'praat' met ons voor hy sy kos kry.
JosBosmaNN	De kaartjes zijn alweer binnen #Ajax #ajadni #uel #el #ajax4ever
syreofficial	De warmte van mijn oven is turnup
orlamodena	@kitty_beelen @piggyinspac @BochovePvdA fraudeurs zijn het die pvda gasten en de ene leugen na de ander wordt uit hun hoed getoverd
PANDA_KNUFFEL	@noahzeeuw zeker een mooie film, zo maar eens proberen te slapen! Alvast slaaplekker😊
JeroenvandeBeek	Halo, zeg. #OnTheRun
TopogigioRini	@bptede fijne dienst en goedenacht. Veiligheid voorop hoor.
TomFR1908	MATCHDAY! Vandaag zullen we FC Utrecht moeten verslaan.. #utrFEY
AriePaap	Ik geloof de ze bij RTL4 ziek zijn #PVV kreeg zomaar een podium, PVV versus D66 verkiezingscampagne! Begrijpen nu....PVV niet te stoppen!
MrsVenderleek	Deze al gelezen?... http://t.co/fmDouSGrcb
marleenisik	het komt goed, als je het de tijd maar geeft ❤❤
Leroyisfancy	“@_ilaydaaax: Ik kan pas over 3 jaartjes naar Vestival... 😢” I feel you.
_dimc85	@eefjefriedhoff Hij heeft op 't station gewerkt :p
_ilaydaaax	@Leroyisfancy Zeg wollah jij bent 12
dailyblogpower	@Supercemal blijf vooral jezelf en 'val niet omhoog'. Kijkers belonen jou voor wat jij er neer zet, jezelf. Eer wie eer toekomt.
EwoutChys	T'leger gaat op manoeuvres naar de Mc Donalds 😂
kennymcgizzle	Ff kijken of ik mezelf terug zie. #NPO3 #BNN #OnTheRunTour #Paris
eefjefriedhoff	Sweet! “@_dimc85: @eefjefriedhoff niks dan goeds ;-) http://t.co/yK1EWuUe3G”
Leroyisfancy	“@_ilaydaaax: @Leroyisfancy Zeg wollah jij bent 12” 13, maar ben pas jarig in september.
TopogigioRini	@fritsdekaart @wilmabrouwer @AysegulDevrim die dames waren niet aan mijn deurtje. Jammer hoor
httpkim_	Mijn vader gaat los op Carnaval Festival muziek en zegt: 'Kutmuziek'
GorillaSearch	Wat zie je er ongelooflijk goed uit #complimentendag http://t.co/4larMsMfal
passieinbroek	bij sasha grey denk ik altijd aan @ScaIIy
automatistisch	@SESHoumaru_ @passieinbroek @mannenbillen bless haar schoolmeid atm scenes
sjaannne	Morgen kan ik uitslapen dus zal wel om 6u wakker worden, om tegen 8u weer in slaap te vallen om de rest van de dag een duf konijn te zijn.
_ilaydaaax	“@CasszRon: Waar zijn alle die hards? #votebbrave #kca” IM HERE BITCH #VoteBBrave #KCA
noaverax	“@CasszRon: Waar zijn alle die hards? #votebbrave #kca” http://t.co/KSHhbkgoxC
HeleenStuifzand	@hulzebos_diana nou gelukkig, ik las dat er hulp onderweg is, dan kan ik met een gerust hart gaan slapen..!!
sdebakker	@basbrand @ronvrn gewoon doorkijken ja. Maar vol gas zal helaas niet lukken. Ach, ik kan me er wel elke dag op verheugen, de komende weken.
marjovandebrug	@JOR_ID maart is nog geen april!!
WimDorsman	Vergeet niet bij de #oplichters van @parkline af te melden,ze doen er zomaar een dagje bij,op uw kosten. #Parkeren in #Rotterdam @rotterdam
marcusbesje08	Gezellige borrel avond hier in @DROOMvillaLUX http://t.co/B0LXUIpeBI
eefjefriedhoff	@_dimc85 ja beter zeg je gewoon wie het is!
RoesMiek	"@AstrudWildschut: . @PvdA is dit het nivo van jullie medewerkers? Wauw.... http://t.co/wuvAdNrYIc"@hansspekman
erikvedder1001	Wie is er jarig? Is het misschien @Sanneke89 ? JAAAAAAAAAAA 🎉🎉🎉. Gefeliciteerd Sanne! ❤️
_ilaydaaax	“@Leroyisfancy: “@_ilaydaaax: @Leroyisfancy Zeg wollah jij bent 12” 13, maar ben pas jarig in september.” Ooooohmy
SphieChan	@kurayami666 @Wietz_chan @Beriorgar Ik geloof dat de donuts populair zijn, misschien moeten jullie wel delen met elkaar
daphnekoek17	Gezellig ouderwets lach avondje gehad met lieve schatt! 😘
Soliviene_x	"@Lezigas: Ze maakt het brokko he" soo maar echt
Adjee96	Maaaaar ik kan niet slapen😢
SunnyGirl1303	Zo klaar met de dag 😄.. Nu lekker naar bedje 😴 dus voor iedereen ⬇😙 http://t.co/fpGt2yoeQ9
theolaanheiloo	Thuis (@ Station Heiloo in Heiloo, Noord-Holland) https://t.co/yucU8Y7oV9 http://t.co/8cY7Fz2W6A
CelisVlaura	Ma hahahhaa meisje wa kom jij hier ook doen als jij niks kan dansen, blijf dan zitten ofzo maar kom ni heel de dans verpesten?😏
Adjee96	Zaterdag word zo onwijs awesome wss met @Manonnony
wvzuilen	I'm at 8 Bahn Nieuwe Haven https://t.co/avWCHC7Mpm
NanceRegina	@driejs op aanraden van JD geheel open minded de show in en eerlijk... you got me!! Thnx mannen! #Gouda
greeneyes_40794	@AuthorJans Ons dierbare woefelkind, Storm. Hy pas ons op met sy lewe. http://t.co/nXPLmy1wIf
jadefierens	effe gek ontsnappingsplan uit mijn huis zoeken
_ilaydaaax	“@Leroyisfancy: @_ilaydaaax hoe oud dacht je dat ik was dan?” 15 🙈
ilonahoran_	@CasszRon wil je me asjeblieeeeft volgen? Dan stem ik +200 keer 🙈
CelisVlaura	Irritant meisje 👋 Blijf maar lachen, we zullen zien binnen een uurtje 😂😂💁
JORDiiNEC	Vervelinggg, zo maar slapen.. Niks op tv
TomFR1908	Die Ziyech hè, Heerenveen staat boven Twente. Ja man. Echt een stap `omhoog` :`)..
Adjee96	Internet deed t weer eens niet, maar heb t zelf kunnen fixen deze keer. Kan nog wel eens wat 👍
_dimc85	@eefjefriedhoff bijna favo ex-barista nou nu is het wel duidelijk
xxromyhofmanxx	@CasszRon maar wqar blijf tme followw ??? #VoteBBrave #KCA @BBraveOfficial
ditishenrieke	Echte knollers hebben respect
rouwhof	@haat_wilders @Pegasus4sun voor jullie teroristen wel ja.anders kun je niet aan genoeg munitie komen.daarom gebruiken jullie Russische troep
PANDA_KNUFFEL	Misschien zijn ze met hun jongensgroep naar 50 shades... 😂
ilonahoran_	En weer even gaan stemmen #KCA
valeriepluim	Nog 151 dagen te gaan!
Kevinontwit	@barryvanoranje @wijnhuiswest ik ben voor!
RickjHollander	@Liset1985 gezellig! Allemaal leuke mensen in het @lucasandreaszkh vannacht dus😀 #nachtdienst
Anne_Minc	1 maart! Net weer wat dichter bij de lente voor mijn gevoel :-)
manonsmeyers	Jaja verander het maar
xAngelmadness	*kijkt Attack On Titan voor de tweede keer* *huilt nog harder dan de eerste keer erom*
sstephvb	Zeg me nu wat je wilt want zo verliezen we geen tijd
Kevinontwit	@BobshopNL als ik bij jullie bestel, kan ik dan zelf een afleverdag kiezen?
moeflons	Top feessie hier in Hijken !!!! http://t.co/yOUxo9E9YW
Soliviene_x	"@Avanaisss: Jay rapt alleen bullshit ." dit dus 😩😩
CelisVlaura	Owje hahaha, jajaaa ge bent latina get over it ge kunt ni dansen oke stop nu 🙅😂
Leroyisfancy	Ik vind het mooi, maar lelijk... http://t.co/AIFPjTLvqg
httpkim_	Gnaw is lekker, omg 😍
Bob8_	Waarom zien vrouwen van 18 eruit als 25 en heb ik nog steeds een kop als een zestienjarige
noaverax	Hahahahaha speciaal voor je gemaakt... #wce @CasszRon #VoteBBrave #kca http://t.co/e8qpvfmAz3
Soliviene_x	Helft versta je niet eens 😩😩😩
MrsVenderleek	Ga 't maar weer eens proberen. Slapen!
ebruhki	@bieberfthaIe @luckybsmith ik dacht dat ik de enige was die hem niet mocht
juliettedebeuk	20 dagen!!!! 🎉🎁🎈
Invectra_	@DeRapidStrijder jij bent kk goed man met je ameli in scrim
Racky7312	@Ricardovegt kijk onderin de chat xd http://t.co/evCUx6suAN
iljaedwards	Ik kan hier niet meer naar kijken. *zapt* #npo3 #Beyonce
HaystackMonique	Goedenacht, Nationale Complimentendag is ruim 15 minuten oud, denk vandaag eens extra diep na over de formulering van je #compliment
Daafwillems	@dobrzynskajulia Wuft antwoord op fb!!
daphnekoek17	Gezellig ouderwets lach avondje gehad met lief vriendinnetje! 😘😘
leukemeid	@NUnl Maar een ding. Mag weer oldtimer rijden
Adjee96	Morgen dus naar de film Seventh son
Kevinontwit	@joenedu liever gewoon zonder jurk toch? Maakt kleur niet meer uit
GorillaSearch	@liquorice42 @YouTube heel mooi
JaGroGoor	“@YvonneSchollink: Een geweldige avond gehad in Goor @guidoweijers” Goor is prachtig 😉
karin19791	@nickensimon #tvk #tvkwas weer geweldig!
HeleenStuifzand	@hulzebos_diana en dan nog op tijd samen boord zien te komen!! Ik zal nog ff duimen, maar lig al te knikkebollen
HennieRutgers	Reacties Bosz en Pröpper na Vitesse vs PEC Zwolle: http://t.co/Sh3hh5sZjU Wat is dit toch mooi om te zien en te horen.
asvasic	Jongens jullie hebben geen idee hoe graag ik wil dat ik eindexamens heb en gewoon mag beginnen aan m'n vervolg opleiding
ditishenrieke	Waarom is er haat op de wereld, kan het niet een keer over zijn?
Meub69	Terecht dat hij werd aangehouden trouwens.. 99 videoshots but this show ain't one.. #Jay-Z #Beyonce
GEKKExAMBER	@xjaimiee mooi! :D
NinoKoning	HAHAHAHAHA DIE KINGDOM VIDEO, IK GA HELEMAAL STUK HAHAHAA 😂😂😂
_dimc85	@Zone_Online op naar 1000 volgers in Maart!! Succes!
jimvanhal	Kom je thuis en zie je dat nac gewoon een punt heeft gepakt bij twente, nu 2 punten ingelopen op ze maar had er liever 3 gehad #fcdordrecht
greeneyes_40794	@AuthorJans Tipies! Lekker slaap!
maschadejong	@RMisset welke sport eerder van IOC-list? Hockey of schaatsen? Kdenk hockey byebye. Sotsji achterhaald. Weer schaatswinnaars USA/Rusland.
patrickdoesbur1	Stop maar @_veenhof :p
